石門水庫	20526.0	20372.26	2026-01-01
西勢水庫	39.6	37.75	2026-01-01
新山水庫	995.96	659.34	2026-01-01
翡翠水庫	36997.6	35764.12	2026-01-01
寶山水庫	500.83	286.61	2026-01-01
寶山第二水庫	3379.78	2611.62	2026-01-01
永和山水庫	2993.43	2409.68	2026-01-01
大埔水庫	529.9	-1.0	2026-01-01
明德水庫	1242.28	824.97	2026-01-01
鯉魚潭水庫	11584.35	8464.96	2026-01-01
德基水庫	18432.88	17714.91	2026-01-01
石岡壩	120.21	24.61	2026-01-01
霧社水庫	2572.22	1980.6	2026-01-01
日月潭水庫	12846.14	11516.93	2026-01-01
湖山水庫	5041.0	3238.28	2026-01-01
仁義潭水庫	2459.19	1302.66	2026-01-01
蘭潭水庫	919.7	584.2	2026-01-01
白河水庫	1404.16	588.0	2026-01-01
烏山頭水庫	7737.94	4774.0	2026-01-01
曾文水庫	49181.0	36900.0	2026-01-01
南化水庫	8522.63	5859.48	2026-01-01
鏡面水庫	96.57	78.73	2026-01-01
阿公店水庫	1467.92	1317.0	2026-01-01
牡丹水庫	2622.08	2439.0	2026-01-01
成功水庫	121.0	109.26	2026-01-01
興仁水庫	74.0	37.42	2026-01-01
太湖水庫	148.08	131.33	2026-01-01
田埔水庫	48.62	39.57	2026-01-01
金沙水庫	43.47	33.4	2026-01-01
后沃水庫	41.63	28.53	2025-12-31
澄清湖水庫	261.36	218.0	2025-12-30
鳳山水庫	-1.0	440.09	2025-12-31
石門水庫	20526.0	20406.38	2026-01-02
西勢水庫	39.6	37.75	2026-01-02
新山水庫	995.96	671.82	2026-01-02
翡翠水庫	36997.6	36100.65	2026-01-02
寶山水庫	500.83	291.55	2026-01-02
寶山第二水庫	3379.78	2597.45	2026-01-02
永和山水庫	2993.43	2395.64	2026-01-02
明德水庫	1242.28	824.97	2026-01-01
鯉魚潭水庫	11584.35	8424.75	2026-01-02
德基水庫	18432.88	17698.28	2026-01-02
石岡壩	120.21	20.68	2026-01-02
霧社水庫	2572.22	2011.62	2026-01-02
日月潭水庫	12846.14	11242.96	2026-01-02
湖山水庫	5041.0	3221.79	2026-01-02
仁義潭水庫	2459.19	1296.72	2026-01-02
蘭潭水庫	919.7	579.4	2026-01-02
白河水庫	1404.16	588.0	2026-01-01
烏山頭水庫	7737.94	4693.0	2026-01-02
曾文水庫	49181.0	36917.0	2026-01-02
南化水庫	8522.63	5825.52	2026-01-02
鏡面水庫	96.57	78.52	2026-01-02
阿公店水庫	1467.92	1312.0	2026-01-02
牡丹水庫	2622.08	2429.0	2026-01-02
成功水庫	121.0	109.26	2026-01-01
興仁水庫	74.0	37.42	2026-01-01
太湖水庫	148.08	130.86	2026-01-02
田埔水庫	48.62	39.12	2026-01-02
金沙水庫	43.47	33.4	2026-01-02
后沃水庫	41.63	28.53	2025-12-31
大埔水庫	529.9	-1.0	2026-01-01
澄清湖水庫	261.36	218.0	2025-12-30
鳳山水庫	-1.0	440.09	2025-12-31
石門水庫	20526.0	20397.92	2026-01-03
西勢水庫	39.6	37.75	2026-01-03
新山水庫	995.96	681.04	2026-01-03
翡翠水庫	36997.6	36036.89	2026-01-03
寶山水庫	500.83	289.75	2026-01-03
寶山第二水庫	3379.78	2589.54	2026-01-03
永和山水庫	2993.43	2395.64	2026-01-02
大埔水庫	529.9	-1.0	2026-01-03
明德水庫	1242.28	821.04	2026-01-03
鯉魚潭水庫	11584.35	8391.86	2026-01-03
德基水庫	18432.88	17752.38	2026-01-03
石岡壩	120.21	21.77	2026-01-03
霧社水庫	2572.22	2033.3	2026-01-03
日月潭水庫	12846.14	11344.51	2026-01-03
湖山水庫	5041.0	3205.33	2026-01-03
仁義潭水庫	2459.19	1288.83	2026-01-03
蘭潭水庫	919.7	574.59	2026-01-03
白河水庫	1404.16	588.0	2026-01-01
烏山頭水庫	7737.94	4605.0	2026-01-03
曾文水庫	49181.0	36917.0	2026-01-03
南化水庫	8522.63	5787.31	2026-01-03
鏡面水庫	96.57	78.31	2026-01-03
澄清湖水庫	261.36	-1.0	2026-01-03
阿公店水庫	1467.92	1309.0	2026-01-03
牡丹水庫	2622.08	2419.0	2026-01-03
成功水庫	121.0	109.26	2026-01-01
興仁水庫	74.0	37.42	2026-01-01
太湖水庫	148.08	130.86	2026-01-03
田埔水庫	48.62	38.3	2026-01-03
